"Content","Page"
"language is creative and any particular
context might have never occurred before","41"
"2 We need the end-symbol to make the bigram grammar a true probability distribution. Without an endsymbol, instead of the sentence probabilities of all sentences summing to one, the sentence probabilities
for all sentences of a given length would sum to one. This model would define an infinite set of probability
distributions, with one distribution per sentence length. See Exercise 3.5.","42"
"Some of the bigram probabilities above encode some facts that we think of as strictly
syntactic in nature, like the fact that what comes after eat is usually a noun or an
adjective","44"
"cultural rather than linguistic","44"
"when there is sufficient training data","44"
"to compute trigram probabilities at the very beginning of the sentence,
we use two pseudo-words for the first trigram (i.e., P(I|<s><s>)","44"
"e inverse probability of the test set, normalized
by the number of words","46"
". We also need to include the end-of-sentence marker
</s> (but not the beginning-of-sentence marker <s>) in the total count of word tokens N.","46"
"The perplexity of two language models is only comparable if they
use identical vocabularies.","47"
"An (intrinsic) improvement in perplexity does not guarantee an (extrinsic) improvement in the performance of a language processing task like speech recognition","47"
"In other words, we
only “back off” to a lower-order n-gram if we have zero evidence for a higher-order
interpolation n-gram","54"
"Without loss of generalization, we can represent a document d as a set of features","69"
"n log
space, to avoid underflow and increase speed","70"
"naive Bayes and also logistic regression—
are called linear classifiers","70"
"we don’t use unknown word models for naive Bayes","72"
"Note that the
results counts need not be 1; the word great has a count of 2 even for binary naive
Bayes, because it appears in multiple documents.","73"
"when training data is sparse or not representative of
the test set, using dense lexicon features instead of sparse individual-word features
may generalize better","74"
"class-specific unigram language models","75"
"Precision measures the percentage of the items that
the system detected (i.e., the system labeled as positive) that are in fact positive","77"
"Recall measures the percentage of items actually present in the input that were
correctly identified by the system.","77"
"b > 1 favor recall","77"
"weighs the lower of the two numbers more heavily","78"
"In macroaveraging, we compute the performance
microaveraging for each class, and then average over classes. In microaveraging, we collect the decisions for all classes into a single confusion matrix, and then compute precision and
recall from that table.","78"
"a microaverage is dominated by the more frequent class","78"
"a microaverage is dominated by the more frequent class","78"
"The macroaverage better reflects the
statistics of the smaller classes, and so is more appropriate when performance on all
the classes is equally important","78"
"Naive Bayes is a generative model that makes the bag-of-words assumption
(position doesn’t matter) and the conditional independence assumption (words
are conditionally independent of each other given the class)","84"
"Stochastic gradient descent is an online algorithm that minimizes the loss function
by computing its gradient after each training example","102"
"two words are synonymous if they are substitutable for one another in any sentence
without changing the truth conditions of the sentence","113"
"relations between word senses (like synonymy) to relations between
words (like similarity)","113"
